word,meaning,example,translation
fall back on ～,～に頼る、～を当てにする,It is wise to have a backup plan to fall back on.,頼りになる予備の計画を持っておくのは賢明だ。
hold off,すぐにしない（で待つ）、降らずにいる,Let's hold off making a decision until we get more information.,もっと情報が得られるまで、決定するのは待ちましょう。
rule out,排除［除外］する,We cannot rule out the possibility that the data is incorrect.,そのデータが間違っているという可能性を排除することはできない。
fall for ～,だまされる、引っかかる,Many people fall for fake news stories shared on social media.,多くの人々がソーシャルメディアで共有される偽ニュース記事にだまされる。
miss out,逃す、経験し損なう、～を飛ばす、抜かす,"If you don't apply now, you will miss out on this opportunity.",今申し込まないと、この機会を逃すことになりますよ。
come down with ～,かかる,"I think I'm coming down with a cold, so I should rest.",風邪をひき始めているようなので、休んだほうがいいだろう。
shake up,改革［再編］する、動揺させる,The new manager is expected to shake up the company's sales strategy.,新しい部長は会社の販売戦略を改革することが期待されている。
hold out,(人が)持ちこたえる、頑張る、(ものの供給などが)持つ、[hold out ～](機会・可能性など)を与える,They managed to hold out until the rescue team arrived.,彼らは救助隊が到着するまでなんとか持ちこたえた。
let up,気を緩める、手を抜く、(風雨・痛みなどが)和らぐ、弱まる,We can go outside as soon as the heavy rain lets up.,激しい雨が弱まったらすぐに外へ出られる。
call for ～,～を必要とする(≒require)、～を要求する(≒demand),Solving this environmental problem calls for international cooperation.,この環境問題の解決は国際的な協力を必要とする。
come into ～,(金・財産など)を相続する(≒inherit)、(ある状態など)になる,He came into a large fortune when his uncle passed away.,彼は叔父が亡くなった時、莫大な財産を相続した。
dispose of ～,(不要物など)を処分する、処理する(≒get rid of ～)、(問題など)を解決する,You must dispose of these old batteries in the proper way.,これらの古い電池は適切な方法で処分しなければならない。
chip in,(仲間などが)金を出し合う,Everyone in the class chipped in to buy a farewell gift.,クラスの全員がお金を出し合って、お別れの贈り物を買った。
stick with ～,(方針など)を変えない、～にこだわる,"Despite some opposition, she decided to stick with her original plan.",多少の反対にもかかわらず、彼女は当初の計画を堅持することに決めた。
go for ～,～を手に入れようとする、～が欲しい,"She is training hard, hoping to go for the championship.",彼女は優勝を目指して、一生懸命トレーニングしている。
make off with ～,〈もの〉を持ち去る、盗む；〈人〉を誘拐する(≒make away with ～),The thieves broke the window and made off with several laptops.,泥棒たちは窓を割り、数台のノートパソコンを持ち去った。
cover for ～,〈人〉の代わりを務める,Could you please cover for me during the meeting tomorrow?,明日の会議中、私の代わりを務めていただけますか？
bring on,〈病気・災害など〉を引き起こす(≒cause),A lack of sleep can bring on various health problems.,睡眠不足は様々な健康問題を引き起こす可能性がある。
stick around,居残る、その場でしばらく待つ,Why don't you stick around for a while after the party?,パーティーの後、しばらく残っていきませんか？
fall on ～,〈責任・費用などが〉〈人〉に降りかかる、課せられる、〈日付が〉〈曜日〉にあたる,"This year, my birthday falls on a Saturday.",今年、私の誕生日は土曜日にあたる。
catch on,理解し始める,"He explained the new system, and I slowly began to catch on.",彼が新しいシステムを説明し、私はゆっくりと理解し始めた。
set off,（旅行などに）出発する(≒set out)、～を引き起こす(≒trigger),We set off for the airport early in the morning.,私たちは早朝、空港に向けて出発した。
win over,～を説得して味方につける、説き伏せる,His logical argument finally won over the members of the committee.,彼の論理的な主張は、ついに委員会のメンバーたちを説得した。
fall through,〈計画などが〉失敗に終わる,Our travel plans fell through because of the typhoon.,私たちの旅行計画は、台風のために失敗に終わった。
track down,～を追跡して捕まえる、追い詰める,The police are trying to track down the person who witnessed the accident.,警察はその事故を目撃した人物を追跡して探し出そうとしている。
sell out,信念を曲げる、裏切る、～を売り切る、売り尽くす、売り切れる,The popular new game sold out in just one hour.,その人気の新作ゲームは、わずか1時間で売り切れた。
drag on,長引く、だらだら続く,The meeting dragged on for hours without any conclusion.,その会議は結論が出ないまま何時間もだらだらと続いた。
die down,〈雨・風・音などが〉弱まる,We waited for the storm to die down before going out.,私たちは嵐が収まるのを待ってから外出した。
break down,(説得・圧力などに)屈する、(機械などが)故障する、分解される,My car broke down on the way to the important interview.,大事な面接に向かう途中で、私の車が故障した。
make up,仲直りする、(部分が)～を構成する、占める,Women make up more than half of the company's employees.,女性がその会社の従業員の半数以上を占めている。
call off,(計画など)を中止する、とりやめる(≒cancel),The baseball game was called off because of the heavy rain.,その野球の試合は大雨のため中止になった。
live up to ～,(期待など)に沿う,,
bring up,(話題など)を持ち出す、提起する、(子ども・ペットなど)を育てる(≒raise),She brought up an important issue at the student council meeting.,彼女は生徒会の会議で重要な問題を提起した。
sum up,～を要約する、かいつまんで話す,"To sum up, we need to reduce our energy consumption immediately.",要約すると、私たちは直ちにエネルギー消費を減らす必要がある。
split up,(夫婦・カップルが)別れる、分かれる、分割される,"After a long discussion, the famous band decided to split up.",長い議論の末、その有名バンドは解散することを決めた。
stick up for ～,〈他人が支持しないもの〉を支持する、擁護する,,
step down,（職・地位などを）辞職する、降りる（≒ resign）,The prime minister will step down from his position next month.,総理大臣は来月、その職を辞任する予定だ。
give out,〈装置・体の一部などが〉動かなくなる、故障する、～を配る、配布する,My old printer finally gave out after ten years of use.,私の古いプリンターは10年間使った後、ついに壊れた。
burn out,燃え尽きる；～を燃やし尽くす,He burned out from working too hard without taking a rest.,彼は休みなく働きすぎたために燃え尽きてしまった。
rough up,〈人〉に暴力をふるう,The witness was roughed up by the criminals before the trial.,その目撃者は裁判の前に犯人たちから暴行を受けた。
draw on ～,〈知識・経験など〉を生かす,,
back off,口出し［干渉］をやめる、後退する、後ずさりする,He told his parents to back off and let him decide.,彼は両親に、干渉しないで彼に決めさせてくれと言った。
hold back,ためらう、ちゅうちょする、〈感情・涙など〉を抑える,She couldn't hold back her tears when she heard the news.,彼女はその知らせを聞いたとき、涙を抑えることができなかった。
